2018-12-22__20:36:09 0.64 68.00 36.00°C note
2018-12-22__20:36:15 0.63 33.00 36.00°C normal
2018-12-22__20:36:20 0.65 20.00 38.00°C normal
2018-12-22__20:36:26 0.66 68.00 38.00°C note
2018-12-22__20:36:32 0.66 6.00 37.00°C normal
2018-12-23__09:24:03 average:0.65 0.73  8.00 22.00°C normal
2018-12-23__09:24:09 average:0.59 0.72  2.00 21.00°C normal
2018-12-23__09:24:14 average:0.55 0.71  3.00 22.00°C normal
2018-12-23__09:24:20 average:0.62 0.72  1.00 22.00°C normal
2018-12-23__09:24:25 average:0.57 0.70  0.00 22.00°C normal
2018-12-23__09:24:31 average:0.61 0.71  4.00 22.00°C normal
2018-12-23__09:24:36 average:0.56 0.70  11.00 22.00°C normal
2018-12-23__09:24:42 average:0.51 0.68  1.00 22.00°C normal
2018-12-23__09:24:48 average:0.47 0.67  17.00 22.00°C normal
2018-12-23__09:24:53 average:0.51 0.68  10.00 22.00°C normal
2018-12-23__10:36:35 1.60 1.65 1.35 31.00 52.00°C normal
2018-12-23__10:36:41 1.55 1.64 1.35 33.00 51.00°C normal
2018-12-23__10:36:47 1.59 1.64 1.35 76.00 52.00°C warning
2018-12-23__10:36:52 1.54 1.63 1.35 31.00 51.00°C normal
2018-12-23__10:36:58 1.66 1.66 1.36 49.00 51.00°C normal
2018-12-23__10:37:04 1.68 1.66 1.36 45.00 52.00°C normal
2018-12-23__10:37:09 1.65 1.66 1.36 60.00 52.00°C note
2018-12-23__10:37:15 1.68 1.66 1.37 47.00 52.00°C normal
2018-12-23__10:37:21 1.63 1.65 1.37 42.00 52.00°C normal
2018-12-23__10:37:27 1.58 1.64 1.36 34.00 51.00°C normal
2018-12-23__10:37:33 1.61 1.65 1.37 26.00 52.00°C normal
2018-12-23__10:37:38 1.56 1.64 1.36 31.00 51.00°C normal
2018-12-23__10:37:44 1.63 1.65 1.37 26.00 51.00°C normal
2018-12-23__10:37:50 1.58 1.64 1.37 26.00 52.00°C normal
2018-12-23__10:37:55 1.54 1.63 1.37 29.00 51.00°C normal
2018-12-23__10:38:01 1.57 1.63 1.37 31.00 52.00°C normal
2018-12-23__10:38:06 1.61 1.64 1.37 28.00 52.00°C normal
2018-12-23__10:38:12 1.64 1.65 1.38 30.00 53.00°C normal
2018-12-23__10:38:18 1.67 1.65 1.38 26.00 53.00°C normal
2018-12-23__10:38:23 1.62 1.64 1.38 26.00 52.00°C normal
2018-12-23__10:38:29 1.57 1.63 1.37 27.00 52.00°C normal
2018-12-23__10:38:34 1.64 1.64 1.38 28.00 53.00°C normal
2018-12-23__10:38:40 1.59 1.63 1.38 27.00 52.00°C normal
2018-12-23__10:54:39 1.79 1.84 1.79 19.00 33.00°C normal
2018-12-23__10:54:47 1.51 1.78 1.77 25.00 33.00°C normal
2018-12-23__11:30:39 0.83 1.00 1.02 83.00 48.00°C warning
2018-12-23__11:31:26 1.09 1.02 1.02 33.00 49.00°C normal
2018-12-23__11:31:33 1.00 1.01 1.02 13.00 49.00°C normal
2018-12-23__11:31:43 1.00 1.01 1.02 24.00 50.00°C normal
2018-12-23__11:31:49 0.92 0.99 1.01 3.00 49.00°C normal
2018-12-23__11:31:55 0.92 0.99 1.01 10.00 49.00°C normal
2018-12-23__11:32:00 0.85 0.97 1.00 3.00 50.00°C normal
2018-12-23__11:32:06 0.72 0.94 0.99 9.00 48.00°C normal
2018-12-23__11:32:11 0.66 0.92 0.99 8.00 50.00°C normal
2018-12-23__11:32:17 0.61 0.91 0.98 6.00 49.00°C normal
2018-12-23__11:32:23 0.80 0.94 0.99 3.00 49.00°C normal
2018-12-23__11:32:28 0.89 0.96 1.00 13.00 49.00°C normal
2018-12-23__11:32:34 0.82 0.95 0.99 8.00 49.00°C normal
2018-12-23__11:32:39 1.40 1.06 1.03 7.00 49.00°C normal
2018-12-23__11:32:45 1.53 1.10 1.04 6.00 50.00°C normal
2018-12-23__11:32:51 1.36 1.07 1.04 10.00 49.00°C normal
2018-12-23__11:32:56 1.34 1.07 1.04 3.00 49.00°C normal
